频道	liveId	liveSid	LiveName	LiveDesc	正在观看	Count
热门	1435236497	29883991	YY舞型舞秀-漠橙兮	【994频道】舞型舞秀	1257	1
热门	4993882	13757650	.小浩【老也不火.	995频道:潮音乐全天无休	6504	1
热门	426233217	54880976	YY好声音-小兔宝	【991：好声音剧场】	12821	1
热门	1377911706	95755787	舞帝?. 小翠儿 【感谢陪伴】	[舞帝传媒]－５５０?小翠儿 微信、淘宝搜索<<舞帝商城>>收藏、分享	622	1
热门	1063321133	66854914	YY好声音-桔子	无敌小桔子！	3798	1
热门	945894408	20571543	【鉑】5829＂玲.新主播求关注	玲玲清爽夏装	5801	1
热门	1052646952	27302778	mc 小东北 思思独家冠名	mc小东北 专业扯犊子  思思独家冠名 1组1314卡皇	1802	1
热门	1267107004	32045450	? Play ?  阿娇	【ＰＬ】阿娇直播间→官网www.madeinplay.com	1100	1
热门	1105083104	38306125	PL 小乔~求照相机~跳舞啦！~	清纯佳人小乔	8762	1
热门	1180511215	23004662	添财进宝（尊师韩雅乐）	添财进宝尊师韩雅乐	3615	1
热门	17994194	52871990	℡⒉1⒎8⒈゛章鱼讲故事	【２１７８１章鱼讲故事】讲故事给喜欢的人听！谢谢你们的支持！	1764	1
热门	1450429161	70840629	ＳＲ ?゛  刘小薇  新主播求关注	「ＳＲ」?新人主播  刘小薇 直播间  1组520卡黄 求守护	578	1
热门	1050309287	27302972	【話社】-点点小污女	妖娆美女小曦	2406	1
热门	1457508870	98803861	YY舞型舞秀-仙子芭蕾	「 Ｃ＋ 」仙子   新人求哥哥	5930	1
热门	1368414557	13427666	话社10998 赫本  尊师大衣哥	【話社】全能女神赫本.直播时间早10点.晚7点 话社主播招募Y群：9008879	2008	1
热门	1133920175	91783781	ＳＲ ?13104心娅 尊师萌秃	SR心娅~若只如初见~~	3743	1
热门	1361890303	42238731	゛星火灬玉哥儿-求铁粉	搞笑舞蹈大PK	4793	1
热门	72120815	45515697	【鉑】＂ 174长腿麦麦	长腿大胸身材好	850	1
热门	208494847	48047101	１１４０５０相亲踩马甲：晴朗	朗王府 - 美女帅哥相亲交友 本月心动女神  BOSS　独家冠名ＶＰ BOSS	7606	1
热门	151358595	23498689	韩俊ˇ我是新货	 韩俊      ? 茫茫人海他会发光 ?	545	1
热门	1258592844	49480036	3989 魏佳艺 合约到期，寻找下家！	实力女歌手魏佳艺	11102	1
热门	842684734	35600407	【鉑】＂你好塞雷...．	【鉑】＂ＹＯＹＯ 应聘女主播加Q群6791980 。	5685	1
热门	106116085	93723767	大白熊洋洋：关注悦儿4月9号生日庆典	不听八卦的可以来玩，开心的交流，快乐的唱歌	3631	1
热门	1298946049	83171750	?i Ｒ?阮 颜? 国王女主播~	【ＩＲ 阮颜?小肉肉?20束蓝色妖姬卡黄 陪伴是最长情的告白	663	1
热门	603909207	54395151	【娛+】大米西西 呔~	大米西西好歌不断	12800	1
热门	1486445993	98848257	【晶火】一字马Cassie卡希	【晶火】小李玟Cassie卡希	41	1
热门	1022996113	23026543	?ＸＹ? 传媒 小 伟  [尊师蓝波]	?ＸＹ? 传媒 小伟3509招优质主播加Ｙ群10588638  	1606	1
热门	764379345	23179988	【娛+951】凤九‘??尊师文er	【娛+951】文徒凤九?春暖花开、我等你来?	1297	1
热门	1046525483	87300341	福建萌舞小小芯，哲妹妹.招收主持	【Ａ one】?萌舞小芯芯直播间，招收优质主播联系微信yy30034	3708	1
热门	799792290	25855369	─╄OvЁ蓝雨丶Yuki  求蓝色妖姬！	甜美Yuki，性感热舞	3547	1
热门	1364845774	79352828	?﹎酒瘾浪徒?MC小贱?【尊师吉尼】	真爱相亲交友 招vp 冠名 只交人不交狗	711	1
热门	825879416	57072857	舞帝?淮安.武大郎?感谢你们一路的陪伴	[舞帝传媒]－５３１?淮安-户外武大郎 微信、淘宝搜索<<舞帝商城>>	903	1
热门	1037711956	40574648	4294微风 十组66卡簧！	微风开讲了	42190	1
热门	474084626	49169333	?i Ｒ?二驴  讲事我们是客观的！	IR 3402 YY法庭 公平，公正，公开的第三方平台！美女pk频道：80018	17963	1
热门	1456796126	77681540	?゛ 麦嘉娱乐 ゛ DJ-vigi	广东DJ-vigi进来请打卡点心	651	1
热门	1437879673	51493392	???姿色223o7  ??大眼萌 ?	?(??.??)姿色娱乐 大眼萌  大舌头宝宝?????︶︶︶??	954	1
热门	791970877	53572576	热舞颜儿 早上7点直播	湖南热舞辣妹颜颜	3389	1
热门	807578974	37739951	小妖精 求珍爱团	【沸点娯楽】-热舞妖精  要珍爱团   小妖精 Happy	1332	1
热门	1005674537	73063335	Annbaby ? 深情不及陪伴	Annbaby  感谢一路有你们的陪伴 	608	1
